Looking for added liquidity of token: 0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
starting new loop

Reading block: 7464407
reading transaction: 0x1b80ddc20d52521d61d1b8301ac7340d9f29e29b54fa1123b5b938664a67e407
reading transaction: 0x89a8ac35ee807ff978caa87fc98f5e53e5a91fadec00cfe6187b75d7d23cb487
reading transaction: 0xeef6625089042864fdff6f025b8a90239fdb2b0bceb6f3da0a557930fbfa8264
reading transaction: 0x69ae491fcc28b90fe9eeb5e5178e7e1f8ba169d24b5c522ee6a10c4ab98c5362
reading transaction: 0x6b43ced5aa3a42d5988e4da16793106001654065c4e258797c75db781d9fd994
reading transaction: 0x0b485d2973f7777526771f367779f3aaa3e71f25fe357b7858e7aa85a5836b65
reading transaction: 0x20fac537afaaf2215aca82ff213d1a85365dde632fd63a73048667b3892ab231
reading transaction: 0x5ccde8daa93525035568e484bdeaf0f24a98d950c6445311f3c9edc065f21e37
reading transaction: 0x1d9fa90e7c38923fdfbdf4e81d0f41c065536b496d7ab45313da36f6243b0343
reading transaction: 0x7e5d58ab2a4fad2a87e9d93e158f0890734be19d4056d2aad73b9872cee3809c
reading transaction: 0xd4c8fcd341d9d32b5fb5f5d924b20c70c9589ea31dc6e8925a190b8354c93832
reading transaction: 0x5160f50d541b12c02bc00649b129875c99f05c9a2886f6491323a7c12e4df885
reading transaction: 0xcc252af480a1fedf3d02c57fc30d194c2bf7f46977ca4ddc0f8a9e94051a8469
reading transaction: 0xdd6cf9964168f4ba0ca664de611955be8cc8d5624be486a9a032012d307e2677
reading transaction: 0xa4fab592649b2e6d4b36a528822fde7065da838981e3840a4eb3a6bba8e94f13
reading transaction: 0xa40ff1e4c76f29e2d40f53aa94507860e1bb49dc26cfa05e832622b7098bd443
reading transaction: 0xbe79a803692223960fe2b5210c7cb17718dcb40a34bd9624228c106c2f8324f6
reading transaction: 0xf86d8e4734e87380ba35ac674ade1957c883edee237ce392c86d8ddb9d75cb6f
reading transaction: 0x47363295058f9dfbd883ef946357bef80347cc4896d755e837cfdf303784fb7c
reading transaction: 0x06d6536a9b901a6a23367b3f215aa7efa96c22818c0a5d8a029df3aacbbcc094
reading transaction: 0x627d62379e7530da939f11f40fe17ac21d2112399f93e41f570a2d3083db1d7d
reading transaction: 0x01096d7fcfd56b6651f3d8e2d6435d7566fd30442cb9221932b4a1c3277f0391
reading transaction: 0xee452826cdde70db312d9f0dff74b4b51ed9ecd4f2816fd147b88b866befd7b1
reading transaction: 0x9f0d97ffe206384a648b8ed1c1805adac1f370b5f8daaf692732ea6863adeb96
reading transaction: 0x8a52287dc391a67cb02ac7096fce5dacaa2af8c5cfa13b828c1d5bff4b12fc58
reading transaction: 0xc206d99914266f5a26c917ea93ff74643f74761a92b6adcee5c167ae8400e6d0
reading transaction: 0xefbadb8c6f3cd4bf9bb99abd47f3b6488a3b89ca0252f5f69d7bf0c6389f18c5
reading transaction: 0x3550db1f9154bf749cce2fb729abdd28b01974cfa7284cf9ec7e6b0195564de2
reading transaction: 0x58c828f017164ee0b47d888593df6ad802ee3f9a21608553ee362bba77608cb7
reading transaction: 0x65b19259901626c733e9ea629b219745ac397cee67a96d0ba9ed37926d39bedf
reading transaction: 0x1dce5c922f73f8dc7b91b15692053b5828dfa759b1cff281331649482f49799f
reading transaction: 0x668b27e09df6cf79b089c1cd9028c8e6414e5267c68cfb7d92cfdd6699220c46
reading transaction: 0x1d6225774b1353d30019a280e4977033312a90f2882e6c5f47aa3bc430a38571
reading transaction: 0xff7a964cb2365da8618a4e13c4b10db8eaab1721af3fb26846a044abb646c295
reading transaction: 0x81d0d0da682833aa2145ed6fc4a47f70363cb5a29fcfa473f69f3a4acb84396d
reading transaction: 0x9c01646fa8b0018273216b92b33c11ed4578b23de6237558547e10af0f8dc174
reading transaction: 0xe77f5c69f1c382d42ef827f8ee025668ca309399d6494a95e8a14dc64d79147b
reading transaction: 0xea4110b6cdeaef36af6611bdd2a2e6dc28828be442f2c03bc6d4921fdae6d891
reading transaction: 0x11b864bea7c1a45d1fb86c29a45a62e4a3218271081d1a2cdb138f3ac9f912fa
reading transaction: 0xcffe072c8dc3a33cfc2752f0112df39c033f15f9101df51f0263e9fdd1f417a3
reading transaction: 0xd1594b8bb8eda38c9ce25da6a2c4c4ac59ab8a12ef483992ab2436c7dab18971
reading transaction: 0xcea4b528b2ed61c644b3cbd80f0363ad61f81221f14893effb5a616cb4ba4f20
reading transaction: 0x661e4ee46de3ef27dcd946403cae55e31a9167edb52f3216986ca3e14f62d956
reading transaction: 0x2856383ba6760da27c1917594d0462178c2df0ef26f35ae564568abd0e3eff9e
reading transaction: 0x1b3aae3220a39f0a209f42a12531648cb2be2339853ca7897f37ff28d25f6f59
reading transaction: 0x4e4536d78a429e07181f9efbab80a1563c57c1da82d23301ca6c4e11a14ae43d
reading transaction: 0x84585108817dcf25c70e2c240b7a0400ed871ac521d8c1eea1a8009505aefdb3
reading transaction: 0xde10b8ed7459dc8bf33aac118a0f82e2fe6a18739b418e5c2025850fc58aec33
reading transaction: 0xfaf8f6905acf08ccb542fe556cf457bb127adb6f44af27f04d8f6a2b6e3d2a21
reading transaction: 0x0988135d362b2b7ddb33a179d2d6f889f0680b3299f4881fe6de26a490296b32
reading transaction: 0x72afbb3f4ee3d93f708d7a8f0e02c8cc6ede0d9d60424ec887e9f4f4ffd8da61
reading transaction: 0xa8733d091508eeec5ee508ba606d2d3edc91a96d29a096ac558aa1ea2108abf6
reading transaction: 0x6d94a88677e0d829c417815e132b81a79295bdf52414ebea4250ab2cadc6677b
